LLM,Temperature,bert-score,exact_match,sequence_match,structural_match,combined
phi4:14b-q8_0,0.3,0.883,0.781,0.38,1.0,0.58
phi4:14b-q8_0,0.5,0.888,0.821,0.423,1.0,0.622
phi4:14b-q8_0,0.7,0.894,0.824,0.39,1.0,0.607
mistral-small:24b-instruct-2501-q8_0,0.3,0.869,0.84,0.523,1.0,0.682
mistral-small:24b-instruct-2501-q8_0,0.5,0.86,0.829,0.563,1.0,0.696
mistral-small:24b-instruct-2501-q8_0,0.7,0.847,0.767,0.503,1.0,0.635
qwen2.5-coder:32b-instruct-q6_k,0.3,0.909,0.778,0.457,1.0,0.618
qwen2.5-coder:32b-instruct-q6_k,0.5,0.902,0.765,0.4,1.0,0.582
qwen2.5-coder:32b-instruct-q6_k,0.7,0.906,0.754,0.393,1.0,0.574
llama3.3:70b-instruct-q4_K_M,0.3,0.878,0.554,0.54,0.978,0.547
llama3.3:70b-instruct-q4_K_M,0.5,0.888,0.613,0.52,0.987,0.566
llama3.3:70b-instruct-q4_K_M,0.7,0.871,0.576,0.47,0.991,0.523
gpt-4o-2024-08-06,0.3,0.937,0.905,0.557,1.0,0.731
gpt-4o-2024-08-06,0.5,0.921,0.868,0.503,1.0,0.686
gpt-4o-2024-08-06,0.7,0.92,0.864,0.42,1.0,0.642
